step,eps,train_solve,solve_rate,optimal_rate,full_steps,mean_ratio,start_max,loss,sps
25024,0.731,1.0,0.0,0.0,-1,nan,341,0.00651,9926
50048,0.4613,1.0,0.002,0.002,-1,1.0,341,0.00418,5644
75008,0.1923,1.0,0.9902,0.908,341,1.0078,341,0.00421,4939
100032,0.03,0.8531,1.0,1.0,341,1.0,341,0.00441,4817
125056,0.03,0.895,1.0,0.9961,341,1.0003,341,0.00327,4747
150016,0.03,1.0,1.0,0.9785,341,1.0084,341,0.00388,4673
175040,0.03,1.0,1.0,1.0,341,1.0,341,0.00296,4647
200000,0.03,1.0,1.0,1.0,341,1.0,341,0.00223,4624
225024,0.03,1.0,1.0,1.0,341,1.0,341,0.00257,4609
250048,0.03,1.0,1.0,1.0,341,1.0,341,0.00251,4600
275008,0.03,1.0,1.0,1.0,341,1.0,341,0.00219,4575
300032,0.03,1.0,1.0,1.0,341,1.0,341,0.00169,4558
