step,eps,train_solve,solve_rate,optimal_rate,full_steps,mean_ratio,start_max,loss,sps
25024,0.731,1.0,0.0,0.0,-1,nan,341,0.00243,9763
50048,0.4613,1.0,0.002,0.002,-1,1.0,341,0.00056,5513
75008,0.1923,1.0,0.0,0.0,-1,nan,341,0.00017,4826
100032,0.03,0.0303,0.002,0.002,-1,1.0,341,1e-05,4545
125056,0.03,0.0303,0.002,0.002,-1,1.0,341,1e-05,4387
150016,0.03,0.0303,0.002,0.002,-1,1.0,341,0.00036,4285
175040,0.03,0.0303,0.0078,0.0078,-1,1.0,341,0.0001,4194
200000,0.03,0.0303,0.0,0.0,-1,nan,341,0.00012,4145
225024,0.03,0.0303,0.0,0.0,-1,nan,341,1e-05,4107
250048,0.03,0.0204,0.0,0.0,-1,nan,341,0.00026,4072
275008,0.03,0.0254,0.0,0.0,-1,nan,341,0.00016,4049
300032,0.03,0.0352,0.0,0.0,-1,nan,341,0.00041,4028
