step,eps,train_solve,solve_rate,optimal_rate,full_steps,mean_ratio,start_max,loss,sps
25024,0.731,1.0,0.002,0.002,-1,1.0,341,0.04469,8348
50048,0.4613,1.0,0.002,0.002,-1,1.0,341,0.00409,5347
75008,0.1923,1.0,0.002,0.002,-1,1.0,341,0.00209,4746
100032,0.03,0.0303,0.002,0.002,-1,1.0,341,0.00162,4478
125056,0.03,0.0303,0.002,0.002,-1,1.0,341,0.00152,4353
150016,0.03,0.0303,0.002,0.002,-1,1.0,341,0.00197,4266
175040,0.03,0.0303,0.0059,0.0059,-1,1.0,341,0.16917,4200
200000,0.03,0.0303,0.002,0.002,-1,1.0,341,0.09977,4107
225024,0.03,0.0303,0.0059,0.0059,-1,1.0,341,0.00059,4015
250048,0.03,0.0204,0.0059,0.0059,-1,1.0,341,0.10062,3992
275008,0.03,0.0204,0.0059,0.0059,-1,1.0,341,0.0336,3977
300032,0.03,0.0204,0.0059,0.0,-1,622.5556,341,0.00043,3966
