step,eps,train_solve,solve_rate,optimal_rate,full_steps,mean_ratio,start_max,loss,sps
25024,0.8991,1.0,0.002,0.002,-1,1.0,341,0.00624,10137
50048,0.798,1.0,0.0,0.0,-1,nan,341,0.00481,5448
75008,0.6971,1.0,0.8689,0.5245,407,1.1243,341,0.0038,4780
100032,0.596,0.3077,0.0274,0.0274,-1,1.0,341,0.00441,4507
125056,0.4948,0.5089,1.0,1.0,341,1.0,341,0.00439,4493
150016,0.3939,0.6726,1.0,1.0,341,1.0,341,0.00444,4446
175040,0.2928,0.795,1.0,0.9159,341,1.0072,341,0.00477,4434
200000,0.1919,1.0,1.0,1.0,341,1.0,341,0.00368,4411
225024,0.0908,1.0,1.0,0.9902,341,1.0001,341,0.00467,4397
250048,0.03,1.0,1.0,0.9061,341,1.0643,341,0.00402,4348
275008,0.03,1.0,1.0,1.0,341,1.0,341,0.00392,4334
300032,0.03,1.0,1.0,1.0,341,1.0,341,0.00375,4340
325056,0.03,1.0,1.0,1.0,341,1.0,341,0.00284,4353
350016,0.03,1.0,1.0,1.0,341,1.0,341,0.00208,4361
375040,0.03,1.0,1.0,1.0,341,1.0,341,0.00269,4355
400000,0.03,1.0,1.0,1.0,341,1.0,341,0.0015,4346
425024,0.03,1.0,1.0,1.0,341,1.0,341,0.00085,4340
450048,0.03,1.0,1.0,1.0,341,1.0,341,0.00082,4335
475008,0.03,1.0,1.0,1.0,341,1.0,341,0.00053,4331
500032,0.03,1.0,1.0,1.0,341,1.0,341,0.00034,4328
525056,0.03,1.0,1.0,1.0,341,1.0,341,0.0003,4324
550016,0.03,1.0,1.0,1.0,341,1.0,341,0.00034,4321
575040,0.03,1.0,1.0,1.0,341,1.0,341,0.00022,4318
600000,0.03,1.0,1.0,1.0,341,1.0,341,0.0002,4311
625024,0.03,1.0,1.0,1.0,341,1.0,341,0.00018,4308
650048,0.03,1.0,1.0,1.0,341,1.0,341,0.00031,4306
675008,0.03,1.0,1.0,1.0,341,1.0,341,0.00019,4302
700032,0.03,1.0,1.0,1.0,341,1.0,341,0.00015,4301
725056,0.03,1.0,1.0,1.0,341,1.0,341,0.0002,4298
750016,0.03,1.0,1.0,1.0,341,1.0,341,0.00022,4296
775040,0.03,1.0,1.0,1.0,341,1.0,341,0.00018,4295
800000,0.03,1.0,1.0,1.0,341,1.0,341,0.00018,4302
